#	BuildSmart Protocol v2 — Gate Registry (SINGLE SOURCE OF TRUTH)
#	------------------------------------------------------------------
#	One row per REAL, DISTINCT protection. Reconciled 1:1 against the emitted
#	gate ids in .githooks/pre-commit (see PROTOCOL_V2.md OLD->NEW mapping).
#	The consistency check (tool/protocol_check.dart --verify-registry, mirrored
#	by gate `reg`) FAILS if the set of ids emitted by pre-commit != the set of
#	`enforced` ids here. Editing a gate REQUIRES editing this row (and vice-versa).
#
#	Columns (TAB-separated):
#	  id          stable gate id (string; legacy numeric ids preserved where 1:1)
#	  group       logical group (foundations|state|planning|test|quality|lang|
#	              save-safety|final-safety|learning|knowledge|content-engine|meta)
#	  name        short human name
#	  severity    err (blocks commit) | warn (advisory) | n/a (not a runtime gate)
#	  trigger     when it runs (always | staged:<glob> | flutter | retry | replay-skip)
#	  tier        cheap (pre-Flutter, fail-fast) | flutter (needs analyze/test) |
#	              push (moved to pre-push) | ci (CI-only) | n/a
#	  engine      bash | dart (tool/protocol_check.dart) | n/a
#	  status      enforced | moved | cancelled | removed | summary | meta
#	  check-desc  what it asserts
#
id	group	name	severity	trigger	tier	engine	status	check-desc
1	foundations	work-branch	err	always	cheap	bash	enforced	current branch matches claude/* (proto branch only)
2	foundations	knowledge-files-exist	err	always	cheap	bash	enforced	11 knowledge/*.md core files present
3	foundations	wiring-exists	err	always	cheap	bash	enforced	app_flutter/WIRING.md present
4	foundations	pubspec-exists	err	always	cheap	bash	enforced	pubspec.yaml present (correct cwd)
5	foundations	branch-tracked	warn	always	cheap	bash	enforced	origin/<branch> tracking ref exists
6	foundations	pre-commit-in-repo	err	always	cheap	bash	enforced	.githooks/pre-commit present in repo
7	foundations	pre-push-in-repo	err	always	cheap	bash	enforced	.githooks/pre-push present in repo
7c	foundations	commit-msg-in-repo	err	always	cheap	bash	enforced	.githooks/commit-msg present (was MISLABELED err 105 at old line 161)
8	foundations	settings-in-repo	err	always	cheap	bash	enforced	.claude/settings.json present in repo
9	foundations	pre-tool-in-repo	err	always	cheap	bash	enforced	.claude/hooks/pre-tool.sh present in repo
10	foundations	workflow-exists	err	always	cheap	bash	enforced	.github/workflows/protocol-enforce.yml present
11	state	version-generated	err	always	cheap	bash	enforced	version.g.dart generated, gitignored, not tracked, not staged
12	state	version-synced	err	always	cheap	bash	enforced	version.g.dart label == STATUS.md label
13	state	roadmap-group-a	err	always	cheap	bash	enforced	SMARTPRODUCT_ROADMAP.md contains Group A
14	state	status-has-version	err	always	cheap	bash	enforced	STATUS.md contains a vX.YY label
15	state	hookspath-githooks	err	always	cheap	bash	enforced	git core.hooksPath == .githooks (MERGED: old 15 + old 83 were identical)
16	state	pre-commit-executable	err	always	cheap	bash	enforced	.githooks/pre-commit is executable
17	state	pre-push-executable	err	always	cheap	bash	enforced	.githooks/pre-push is executable
18	state	knowledge-dir	err	always	cheap	bash	enforced	knowledge/ directory present
19	state	lib-state-dir	err	always	cheap	bash	enforced	lib/state/ directory present
20	state	test-dir	err	always	cheap	bash	enforced	test/ directory present
21	planning	session-plan-exists	err	staged:lib	cheap	bash	enforced	knowledge/session_plan.md exists when lib/ staged
22	planning	session-plan-filled	err	staged:lib	cheap	bash	enforced	session_plan.md is not the empty template
23	planning	roadmap-in-progress	err	staged:lib	cheap	dart	enforced	ROADMAP has a in-progress marker (content gate)
24	planning	wiring-updated	err	staged:lib	cheap	bash	enforced	WIRING.md staged when lib/ staged
25	planning	preact-shared-untouched	err	staged:lib	cheap	dart	enforced	no edits to Preact-shared *_settings.dart (content gate)
26	planning	test-filename-singular	err	staged	cheap	bash	enforced	no *_tests.dart (must be _test.dart)
27	planning	filename-snake-case	err	staged	cheap	bash	enforced	no CamelCase .dart filenames under lib/
28	planning	no-local-uri	err	staged:dart	cheap	dart	enforced	no absolute file:/// or C:\ URIs in dart diff (content gate)
31	test	flutter-analyze	err	flutter	flutter	bash	enforced	flutter analyze reports 0 errors
32	test	tests-vs-baseline	err	flutter	flutter	bash	enforced	test failures <= known-failing baseline; baseline-phantom guard
33	test	test-count-not-down	err	flutter	flutter	bash	enforced	test count not below STATUS.md recorded count
35	test	critical-test-1-exists	warn	flutter	flutter	bash	enforced	compat_coverage_test present (emitted by the 35-40 loop)
36	test	critical-test-2-exists	warn	flutter	flutter	bash	enforced	regression_gate_test present (emitted by the 35-40 loop)
37	test	critical-test-3-exists	warn	flutter	flutter	bash	enforced	knowledge_protocol_test present (emitted by the 35-40 loop)
